@relation 'predictive_maintenance-weka.filters.unsupervised.attribute.Remove-R1-2,10-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0'

@attribute Type=M numeric
@attribute Type=L numeric
@attribute Type=H numeric
@attribute 'Air temperature [K]' numeric
@attribute 'Process temperature [K]' numeric
@attribute 'Rotational speed [rpm]' numeric
@attribute 'Torque [Nm]' numeric
@attribute 'Tool wear [min]' numeric
@attribute Target {0,1}

@data
1,0,0,298.1,308,1686,29.3,35,0
0,1,0,297.1,308.5,1733,28.7,50,0
0,1,0,298.7,310.1,1558,37.6,44,0
0,0,1,297.4,308.3,1771,27.4,100,0
1,0,0,297.2,307.9,1456,44.9,85,0
0,0,1,302.2,311.1,1628,30.6,105,0
0,0,1,302.3,310.8,1438,43.8,119,0
0,1,0,301.3,311.1,1454,40.3,191,0
0,1,0,298.8,308.5,1450,50.8,57,0
0,1,0,297.2,308.4,1460,42.1,41,0
0,0,1,299.7,309.3,1494,37.8,214,0
0,1,0,299,310.1,1699,32.9,87,0
0,1,0,301.3,310.6,1426,40.7,54,0
1,0,0,298,307.5,1427,43.6,101,0
1,0,0,300.8,309.6,1404,38.7,44,0
1,0,0,300.6,309.6,1588,37,50,0
0,1,0,299.6,309.1,1369,51.4,164,0
0,0,1,300.7,311,1981,19.9,99,0
0,1,0,298.5,309.6,1419,41.5,105,0
0,1,0,296.4,307.4,1512,36.8,46,0
0,1,0,298,308.7,1506,47,208,0
0,0,1,299.9,310.1,1447,51.4,185,0
0,1,0,303.5,311.6,1577,38.1,112,0
0,1,0,298.8,310.2,1504,41,51,0
1,0,0,300.7,312.3,1430,47.2,131,0
1,0,0,304.2,313.5,1739,28.1,80,0
0,1,0,298.2,308.1,1618,34.7,39,0
0,1,0,301.7,311,1527,42.2,144,0
0,0,1,300.9,312,1720,27.9,202,0
0,0,1,298,309.1,1557,36.4,65,0
1,0,0,298,308.6,1507,37.3,217,0
1,0,0,301.2,312.4,1428,36.6,99,0
0,1,0,299,308.7,1507,37.5,134,0
0,1,0,301.5,310.9,1469,44.7,164,0
0,1,0,300.6,310.2,1555,41.9,19,0
0,1,0,303.5,312.3,1946,21.1,112,0
1,0,0,296.9,307.8,1840,24.6,157,0
0,1,0,300.5,311.6,1447,45.4,204,0
0,1,0,300.4,309.3,1671,35,209,0
0,1,0,302.5,311.4,1559,37.6,209,0
1,0,0,298.3,308.1,1630,32.7,83,0
1,0,0,299,310,1337,57.4,146,0
1,0,0,297.1,308.5,1515,42.1,81,0
0,1,0,299.6,310.6,1642,35.1,149,0
1,0,0,303.9,313.3,1507,34.3,161,0
0,1,0,299.8,311.2,1533,35.9,137,0
1,0,0,300.8,310.7,1386,42.1,170,0
1,0,0,300,309.6,1423,48.7,67,0
1,0,0,300,309.2,1635,32.4,4,0
1,0,0,297.3,308.3,1341,51.9,51,0
0,1,0,304.1,313.1,1550,30.9,9,0
1,0,0,300.4,311.8,1707,30,165,0
0,1,0,301.3,310.4,1507,39.1,194,0
0,1,0,300.4,310.8,1348,56,146,0
0,1,0,301.2,310.7,1644,31.6,166,0
0,0,1,298.1,307.7,1376,56.2,113,0
0,1,0,299.3,310.8,1391,46.9,21,0
1,0,0,301.8,311.5,1416,49,136,0
1,0,0,300.1,311.7,1400,48.5,205,0
0,1,0,302,310,1832,22.9,178,0
0,1,0,302.1,311.2,1447,50.3,11,0
1,0,0,300.4,309.7,1440,42.8,104,0
0,1,0,298.5,308.1,1564,31.1,34,0
0,1,0,297.2,308.4,1677,26.4,146,0
0,1,0,300.7,309.5,1461,49.9,0,0
1,0,0,298.8,308.6,1507,42.3,207,0
0,1,0,300.1,309.6,1565,34.8,32,0
0,1,0,300.5,311.3,1490,41.8,39,0
0,1,0,298.6,309,1456,47.7,0,0
0,0,1,299.3,309.1,1552,40.7,120,0
0,1,0,301.2,310.8,1711,28.9,38,0
1,0,0,300,309,1368,45.8,81,0
0,1,0,300.3,311.4,1759,24.8,34,0
1,0,0,297.2,308.6,1404,43.7,160,0
0,0,1,297.9,309.2,1577,34.7,5,0
0,1,0,301.7,310.2,1435,48.1,12,0
0,1,0,296.5,307.6,1415,44.2,106,0
0,1,0,299.5,309.3,1520,42.3,149,0
1,0,0,298,308.1,1339,51.6,197,0
0,1,0,302,310.3,1648,29.6,157,0
1,0,0,297.2,307.9,1541,35.7,169,0
1,0,0,300.1,309.3,1469,43.9,20,0
0,1,0,302.2,311.3,1382,46.4,94,0
0,0,1,301.6,310.6,1555,40.4,139,0
0,1,0,301.3,310.1,1355,53.6,193,0
1,0,0,301.3,311.2,1438,42.4,7,0
0,1,0,300.8,310.9,1398,38.2,50,0
0,1,0,297.5,308.6,1260,53.6,137,0
0,1,0,297.7,308.8,1515,40.1,82,0
1,0,0,297.5,308.5,1699,30.1,40,0
0,1,0,298,307.6,1509,41.6,33,0
0,0,1,301.5,310.7,1790,26.2,8,0
0,1,0,297.4,308.4,1580,41.2,66,0
0,1,0,300.8,312.1,1512,37.1,169,0
1,0,0,300.9,312.1,1297,48.6,76,0
0,1,0,300.1,311.4,1629,31.3,41,0
1,0,0,299.8,309.3,1470,42.7,119,0
1,0,0,297.2,308.3,1429,42,6,0
1,0,0,300.5,311.5,1370,56.1,7,0
0,0,1,303.1,312.6,1404,40.6,152,0
1,0,0,302.3,311.7,1483,40.5,8,0
0,1,0,299.1,308.3,1305,61.4,17,0
0,1,0,297.5,309.3,1404,43.5,195,0
0,1,0,299.1,308.8,1413,42.1,86,0
1,0,0,300.2,309.8,1743,24.1,18,0
0,1,0,299.6,309.3,1558,34.8,115,0
0,1,0,296.8,307.4,1549,48.3,105,0
0,1,0,298.5,309.5,1370,52.4,113,0
1,0,0,300.5,311.3,1507,43.4,41,0
0,1,0,298.7,310.1,1401,45.3,67,0
0,1,0,298.2,308.4,1478,42.9,183,0
0,1,0,302.1,311.2,1492,45,162,0
0,0,1,298.8,309.9,1526,42.1,30,0
0,1,0,301.8,310.1,1738,28,58,0
1,0,0,297.9,309.1,1614,38.1,62,0
0,0,1,300.7,310.6,1631,32.6,43,0
0,1,0,300.3,311.8,1451,41,55,0
1,0,0,300.7,311,1263,52.3,104,0
0,1,0,302.2,311.5,1413,43.5,83,0
0,1,0,298.1,308.8,1432,43.4,68,0
1,0,0,300.5,311.3,1507,43.4,41,0
1,0,0,298.6,309.2,1311,46.6,44,0
0,1,0,297.4,308.5,1410,43.9,47,0
0,1,0,298,308.5,1664,28.3,196,0
0,0,1,301.8,311.1,1543,36.4,120,0
0,1,0,301.4,310.7,1487,44.6,88,0
1,0,0,301,310.9,1554,32.7,59,0
0,1,0,300.4,309.7,1534,42.5,127,0
1,0,0,298,307.5,1784,27.8,163,0
0,0,1,299.5,309.2,1872,22.6,162,0
0,0,1,299.4,309,1415,51.7,62,0
0,1,0,298,307.7,1430,47.3,49,0
0,1,0,298.2,308.3,2057,18,168,0
0,1,0,300.8,311.4,1536,40.9,22,0
0,1,0,298.8,308.4,1473,41.1,128,0
0,1,0,304.1,313.2,1569,35.8,146,0
0,1,0,302.6,310.2,1923,21.5,18,0
0,1,0,297.6,308.9,1449,47.7,209,0
0,1,0,300.6,311.5,1419,38.6,31,0
1,0,0,301.6,311,1431,42.3,129,0
1,0,0,303.8,313,1789,23.5,215,0
0,1,0,302.9,311,1820,24.6,128,0
0,1,0,296.3,307.1,1560,33.2,186,0
1,0,0,297.4,308.8,1628,37.4,144,0
0,1,0,298.6,309.3,1537,37.6,175,0
0,0,1,303,312.2,1624,28.8,117,0
1,0,0,298.2,308.9,1585,34.3,33,0
0,1,0,302.2,311.6,1872,20.4,202,0
0,1,0,300.4,312,1366,43,117,0
0,1,0,301.6,310.9,1643,34.1,44,0
0,1,0,298.2,308.1,1306,58.3,35,0
0,1,0,300.6,309.4,1471,44.1,244,0
0,0,1,298.9,308.8,1621,32.7,75,0
1,0,0,301.1,311.1,1615,37.7,153,0
0,1,0,297.1,308.5,1483,46.9,203,0
0,1,0,301.5,310.5,1466,48.1,189,0
1,0,0,301,310.4,1793,25,142,0
0,1,0,298.5,309.5,1547,33.1,68,0
1,0,0,299.8,310.3,1805,23.7,198,0
0,0,1,301.1,310.8,1792,25.8,121,0
1,0,0,300.4,310,1560,42.3,186,0
0,1,0,300,310.1,1465,40.9,60,0
0,1,0,300.1,310.5,1356,45.8,126,0
0,0,1,298.9,309.9,1376,51,32,0
0,1,0,303.8,312.5,1619,30.9,142,0
1,0,0,297.5,309.4,1831,26.6,105,0
0,1,0,299,308.5,1604,34.7,159,0
1,0,0,298.9,309.9,1449,44.1,112,0
1,0,0,297.5,308.2,2448,13.8,29,0
0,1,0,301.3,310.5,1503,48.6,72,0
0,0,1,299.2,310.6,1704,30.6,160,0
0,1,0,302.6,312.1,1439,52.3,35,0
0,1,0,299.6,311,1574,35,133,0
1,0,0,301.4,311.2,1727,26.5,43,0
1,0,0,297.6,308.6,1595,36.9,25,0
0,1,0,300.6,310.2,1341,52.6,21,0
0,1,0,300.5,310.5,1515,36.6,54,0
1,0,0,300.4,311.8,1362,47.6,188,0
0,1,0,302.1,311.2,1417,48,13,0
1,0,0,301.3,311,1641,33,145,0
0,1,0,301.7,310.5,1399,53.2,174,0
0,1,0,302.7,310.6,1686,26.3,9,0
0,1,0,298.8,310,1423,42.1,154,0
1,0,0,298.1,308.1,1390,49.8,85,0
0,1,0,302.6,312.2,1520,43,208,0
0,0,1,297.4,308.7,1623,33.8,127,0
1,0,0,301.3,310,1593,30.8,210,0
0,1,0,297.4,308.3,1548,46.6,7,0
0,1,0,298.2,309.4,1398,52.9,79,0
1,0,0,300.7,310.2,1373,44.1,28,0
0,1,0,296.7,307.8,1468,39.2,35,0
1,0,0,298.1,308.8,2206,16.3,195,0
0,0,1,298.1,309.3,1332,51,72,0
0,1,0,297.5,308.6,1585,37.6,2,0
0,1,0,300.8,310.7,1461,42.8,173,0
0,1,0,299.5,308.7,1446,45.7,173,0
0,1,0,298.5,309.9,1482,42.1,15,0
1,0,0,301.7,310.9,1300,62.7,36,0
0,1,0,303.9,313,1480,39.9,176,0
1,0,0,301.4,310.5,1495,52.5,201,0
0,1,0,299,310.1,1531,36,57,0
0,1,0,298.5,308.3,1458,44,44,0
0,0,1,297.5,308.6,1355,58.9,138,0
0,1,0,301.2,310,1618,37.6,32,0
0,1,0,299.5,310,1502,38.5,52,0
1,0,0,301.8,311.3,1624,31.6,145,0
0,0,1,297,307.9,1448,45.6,172,0
0,1,0,297.4,308.3,1561,38.3,0,0
1,0,0,303.5,312.3,1543,33.3,71,0
1,0,0,297.4,308.5,1412,45.5,49,0
0,0,1,300.8,310.5,1582,31.1,193,0
0,1,0,300.5,310.8,1509,33,153,0
0,0,1,298.9,309.2,1379,50.7,106,0
0,1,0,301.7,310.7,1493,51.1,87,0
0,1,0,303.6,312.4,1363,53.1,7,0
1,0,0,303.7,312.9,1532,41.3,32,0
0,1,0,301.8,311.3,1471,44.2,148,0
0,1,0,303.6,312.9,1873,23.5,7,0
0,1,0,299.7,309.1,1475,40,123,0
0,1,0,297.5,308.6,1585,37.6,2,0
0,1,0,300.8,312.3,1858,26.3,144,0
1,0,0,302.4,310.2,1485,45.9,50,0
0,1,0,303.6,312.6,1502,39.5,103,0
0,1,0,300.9,310.6,1598,35.4,186,0
1,0,0,302,311,1980,21.5,20,0
0,1,0,301,310.6,1588,33.7,114,0
0,1,0,302.3,311.6,1488,41.8,75,0
0,1,0,298.4,309.3,1512,35.8,18,0
0,1,0,300.7,311.8,1603,34.1,17,0
0,1,0,303.4,311.7,1406,47.1,213,0
1,0,0,300.2,310.1,1619,31.3,38,0
1,0,0,299,310.4,1625,37.1,131,0
0,1,0,298.2,308.3,1230,59.6,162,0
1,0,0,302.3,310.8,1611,31.8,169,0
0,1,0,303.9,313.1,1639,29,95,0
0,1,0,300.3,310.1,1483,39.9,174,0
1,0,0,297.9,309.9,1410,55.4,188,0
0,1,0,300.4,311.1,2013,20.1,195,0
0,0,1,300.5,310.6,1411,47.2,201,0
1,0,0,301.1,311.1,1470,40.6,159,0
0,1,0,303.8,313,1452,38.6,72,0
0,1,0,299.3,308.6,1520,33.7,76,0
0,1,0,297.2,307.9,1309,49.6,167,0
0,1,0,303.6,312.4,2232,16.8,0,0
0,1,0,297.5,308.7,1407,42.5,145,0
0,1,0,299.4,310.5,1514,36.1,169,0
0,0,1,299,308.8,1382,58.5,199,0
0,1,0,299.6,310.1,1487,42.9,42,0
0,1,0,300.7,310.7,1425,45.3,48,0
0,1,0,301.5,310.6,1578,34.1,120,0
0,1,0,300.7,311,1596,36.9,174,0
0,1,0,302.2,311.5,1543,38.5,37,0
1,0,0,298.9,309.8,1353,53.7,71,0
0,1,0,302.2,310.6,1632,30.5,122,0
0,0,1,296.5,307.4,1432,49.2,64,0
0,1,0,299,310.4,1339,49.6,94,0
1,0,0,296.8,308.1,1843,24.2,212,0
0,1,0,297.4,308.6,1459,41.3,196,0
0,1,0,297.5,308.2,1647,31.3,3,0
0,1,0,300.5,309.8,1345,62.7,153,0
0,1,0,301.2,310.4,1381,49.8,115,0
0,1,0,300.6,309.5,1471,49.6,29,0
0,0,1,302.4,310.1,1597,28.9,179,0
1,0,0,301.4,310.8,1530,39.9,107,0
1,0,0,298.6,309.1,1487,43.2,206,0
0,1,0,301.7,310.7,1318,55,194,0
0,1,0,299.4,308.9,1451,40.5,168,0
0,1,0,304,313.2,1416,46,128,0
1,0,0,298.9,309.9,1645,31.4,86,0
0,1,0,298.5,309.7,1437,42.6,120,0
1,0,0,298.9,310.1,1484,37.9,73,0
1,0,0,297.1,308.2,1529,37.9,183,0
0,1,0,302.2,311.1,1447,52.1,174,0
1,0,0,298.9,309.8,1836,22.8,18,0
1,0,0,301.3,310,2068,17.8,176,0
0,1,0,299.6,310.9,1658,28,76,0
1,0,0,297.8,307.4,1330,51.7,183,0
0,1,0,300.4,311.5,1492,44.6,149,0
1,0,0,300.3,311.6,1312,53.4,151,0
0,0,1,297.5,308.5,1671,28,158,0
0,1,0,298.4,309.2,2118,17.7,210,0
0,1,0,299.2,308.7,1514,41.9,196,0
1,0,0,296.5,307.4,1350,55.6,69,0
0,1,0,300.1,311.5,1499,43.4,65,0
1,0,0,300.9,310.9,1727,30.1,102,0
0,1,0,300.5,311.9,1511,41.8,205,0
1,0,0,297.4,308.4,1517,41,18,0
0,1,0,303.8,312.8,1428,53.3,152,0
0,1,0,300.4,309.8,1549,38.9,150,0
1,0,0,300.8,309.7,1482,39,171,0
0,1,0,302.7,311.1,1440,39.5,146,0
1,0,0,298.3,308.4,1539,43.4,69,0
0,1,0,299.1,310.7,1309,51.1,188,0
0,1,0,298.6,309.4,1375,55.4,145,0
0,1,0,300.4,311.3,1608,35.1,114,0
0,1,0,303.7,312,1892,22.5,79,0
0,1,0,297.4,307.9,1390,47.7,156,0
0,1,0,299.7,311,1827,25.4,194,0
0,1,0,302.2,311.1,1351,48.6,110,0
0,1,0,298,308.9,1578,35.6,153,0
1,0,0,302.2,311.4,1538,37.4,37,0
0,1,0,297.7,308.7,1829,24.9,17,0
0,1,0,297.3,308.3,2358,14.9,49,0
0,1,0,300.7,311,1377,49.9,124,0
0,1,0,299.4,310.8,1622,33.6,217,0
0,0,1,300.1,310.1,1426,42.7,64,0
1,0,0,299,308.8,1418,45.7,204,0
0,0,1,302.3,310.8,1438,43.8,119,0
0,1,0,300,309.4,1308,50.2,32,0
0,1,0,296.9,308.1,1741,28.8,60,0
0,1,0,301.3,310.8,1531,53.4,57,0
1,0,0,300.7,309.5,1633,31.3,90,0
0,0,1,298.8,309.7,1461,55.1,118,0
1,0,0,300,309.9,1530,34.5,71,0
0,0,1,300.7,311.3,1374,53.1,66,0
0,1,0,303.7,312.5,1397,45.7,187,0
1,0,0,302.3,311.1,1295,57.1,146,0
0,1,0,301,311.9,1889,23.5,198,0
1,0,0,298.7,309.7,1868,23.8,118,0
1,0,0,297.9,309.1,1338,49.6,56,0
0,1,0,299.1,308.3,1426,40.1,60,0
1,0,0,298.1,308.7,1581,47.4,51,0
0,1,0,298.2,308.3,1304,49.8,45,0
0,1,0,297.5,308.1,1631,30.6,146,0
1,0,0,302.5,312,1521,40.2,174,0
0,1,0,299.6,311,1552,33.2,139,0
1,0,0,302.3,311.7,1639,36.6,121,0
0,1,0,303.4,312.7,1589,34,116,0
0,1,0,301.5,310.6,1522,36.6,202,0
0,1,0,297.5,308.6,1596,36,141,0
0,1,0,304,312.8,1542,42.7,198,0
1,0,0,302.1,311.1,1450,51.6,86,0
1,0,0,300.9,310.9,1727,30.1,102,0
0,1,0,296.9,307.8,1653,29.7,137,0
1,0,0,301.9,310.7,1472,47,73,0
0,1,0,298.2,307.7,1688,32.4,91,0
0,1,0,297.7,308.1,1734,30.7,177,0
0,1,0,298.1,307.4,1608,33.9,193,0
0,1,0,299.8,310.8,1409,51.9,154,0
0,1,0,299.4,309.2,1489,42.3,114,0
0,1,0,300.5,311.6,1541,47.8,156,0
1,0,0,303.6,312.5,1607,33.7,14,0
0,0,1,301.7,310.1,1462,38.3,49,0
0,1,0,301.1,311.1,1450,43.3,168,0
1,0,0,300.7,310.8,1486,41.2,71,0
1,0,0,298.4,309.1,1467,39.6,78,0
1,0,0,300.9,310.4,1576,40.4,92,0
0,1,0,300.5,311.4,1466,41.8,112,0
0,1,0,303.6,312.4,1388,41.9,221,0
0,0,1,298.6,309.8,1279,55.9,152,0
0,0,1,299.7,309.2,1355,44.8,127,0
0,1,0,301.1,309.7,1668,30.8,158,0
0,1,0,300.7,310.9,1535,37.1,113,0
1,0,0,304.2,313.4,1411,54.8,44,0
0,1,0,297.7,309.1,1435,38.8,165,0
1,0,0,300.9,311.8,1843,24.5,25,0
0,0,1,298.3,310,1419,47.1,105,0
0,1,0,298.6,309.7,1703,26.1,5,0
0,1,0,297.6,309.2,1611,33.1,155,0
0,1,0,297.3,308.3,1333,55.2,11,0
0,1,0,296.3,307.4,1472,39.9,51,0
1,0,0,300,309.6,1618,36.2,53,0
0,1,0,300.7,310.8,1534,41.3,69,0
0,1,0,302,310.6,1467,44.9,86,0
0,1,0,298.7,309.7,1462,46.8,4,0
1,0,0,301.1,311.1,1592,35.7,174,0
0,1,0,299.1,308.5,1371,55.5,159,0
1,0,0,300.2,311.4,1427,39.7,196,0
0,1,0,297.9,308.9,1393,40.6,45,0
1,0,0,298.6,309.7,1422,49.7,139,0
1,0,0,303.9,313.1,1668,34.4,137,0
0,1,0,304,312.9,1313,53.9,202,0
1,0,0,299.3,310.9,1826,25.1,2,0
0,1,0,301.5,310.5,1528,35.7,198,0
0,1,0,301.2,310.8,1479,41.2,155,0
1,0,0,295.3,305.8,1589,36.2,184,0
0,1,0,296.9,307.7,1653,35.9,177,0
0,1,0,302,311,1686,32.5,25,0
0,1,0,302.1,310.9,1666,30.7,203,0
0,0,1,299.8,310.9,1427,47.2,168,0
1,0,0,298.3,308.8,1391,50.4,13,0
0,1,0,297.6,309.5,1617,36.2,42,0
1,0,0,301.3,310.4,1501,39.8,187,0
0,1,0,299.7,310.9,1384,48.2,188,0
1,0,0,300.5,311.6,1454,41.4,108,0
0,1,0,298.1,307.7,1479,45,136,0
0,1,0,297.2,308.8,1451,43.1,68,0
0,1,0,300.3,309.1,1699,30.3,178,0
1,0,0,299.2,308.4,1330,51.2,56,0
0,1,0,300.8,310.6,1551,34.5,153,0
0,1,0,297.4,308.5,1462,42.8,68,0
0,1,0,297.4,308.6,1439,46.4,114,0
1,0,0,298.2,308.8,1645,28.2,58,0
0,0,1,299.3,308.6,1520,41.4,67,0
1,0,0,297.6,308.6,1390,53.4,175,0
0,1,0,303.3,312.1,1418,44.7,83,0
1,0,0,299.3,308.7,1459,35.6,87,0
1,0,0,301.7,310.8,1516,40.4,48,0
1,0,0,300.5,311.9,1670,26.3,89,0
0,1,0,298.2,308,1538,38.2,59,0
1,0,0,301.6,310.2,1411,45.1,54,0
1,0,0,298.2,307.8,1583,36.6,185,0
0,1,0,300.7,311.7,1395,43.7,215,0
